shrid2,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-09-157-00820-800948,103347.6875,19232.23828125,0.2329310029745102,0.2815708816051483,0.0,0.0,1.0,1.0
11-09-157-00821-800950,103408.5078125,18266.275390625,0.24695393443107605,0.2983655333518982,0.0,0.0,1.0,1.0
11-09-157-00821-800951,161990.265625,32885.8125,0.04367297515273094,0.05734945088624954,0.0,0.0,1.0,1.0
11-09-157-00821-800952,158375.875,33183.94140625,0.04354827478528023,0.05661742389202118,0.0,0.0,1.0,1.0
11-09-157-00822-800953,113668.8515625,19986.3046875,0.17353379726409912,0.2178354114294052,0.0,0.0,1.0,1.0
11-09-157-00822-800954,91844.875,15692.380859375,0.3404524028301239,0.398632287979126,0.0,0.0,1.0,1.0
11-09-157-00822-800955,101556.640625,18509.08984375,0.22415445744991302,0.2844036817550659,0.0,0.0,1.0,1.0
11-09-158-00823-800956,124936.6328125,27315.11328125,0.04046579450368881,0.06404658406972885,0.0,0.0,1.0,1.0
11-09-158-00823-800957,112145.1953125,31732.9375,0.07999999821186066,0.14370369911193848,0.0,0.0,1.0,1.0
11-09-158-00824-800958,111775.8828125,18702.484375,0.2918303310871124,0.3731343150138855,0.0,0.0,1.0,1.0
11-09-158-00825-800959,140238.65625,27508.76171875,0.11558502912521362,0.1400325447320938,0.0,0.0,1.0,1.0
11-09-158-00826-800960,126553.7421875,25305.578125,0.08292483538389206,0.11887255311012268,0.0,0.0,1.0,1.0
11-09-158-00827-800961,112047.7578125,23314.451171875,0.14679335057735443,0.17862233519554138,0.0,0.0,1.0,1.0
11-09-158-00828-800962,117710.0234375,21893.75390625,0.2023778110742569,0.23804490268230438,0.0,0.0,1.0,1.0
11-09-158-00829-800963,106449.1875,19294.291015625,0.23715415596961975,0.29700732231140137,0.0,0.0,1.0,1.0
11-09-158-00829-800964,113663.171875,18319.236328125,0.2384350448846817,0.2819882035255432,0.0,0.0,1.0,1.0
11-09-159-00830-800965,92970.390625,16007.576171875,0.3279752731323242,0.40061822533607483,0.0,0.0,1.0,1.0
11-09-159-00830-800966,120683.6171875,21781.103515625,0.179284930229187,0.22813086211681366,0.0,0.0,1.0,1.0
11-09-159-00830-800967,92387.921875,15479.7783203125,0.35589107871055603,0.41281524300575256,0.0,0.0,1.0,1.0
11-09-159-00832-800968,120116.7265625,22115.61328125,0.1316845417022705,0.17437730729579926,0.0,0.0,1.0,1.0
11-09-159-00832-800969,115224.1796875,21731.732421875,0.140333890914917,0.18328090012073517,0.0,0.0,1.0,1.0
11-09-159-00832-800970,105939.1796875,17778.34375,0.2358020693063736,0.30063506960868835,0.0,0.0,1.0,1.0
11-09-159-00832-800971,108226.3359375,19425.240234375,0.24451567232608795,0.2897436022758484,0.0,0.0,1.0,1.0
11-09-160-00833-800972,101694.3359375,16757.34375,0.3056555390357971,0.36838045716285706,0.0,0.0,1.0,1.0
11-09-160-00833-800973,112879.9375,21020.3359375,0.1734856367111206,0.2119651734828949,0.0,0.0,1.0,1.0
11-09-160-00833-800974,119084.484375,21539.259765625,0.2416393905878067,0.2693895101547241,0.0,0.0,1.0,1.0
11-09-160-00833-800975,130323.1640625,24121.333984375,0.11220207810401917,0.1463230848312378,0.0,0.0,1.0,1.0
11-09-160-00833-800977,118017.5859375,21549.287109375,0.319112628698349,0.34726962447166443,0.0,0.0,1.0,1.0
11-09-160-00834-800978,117565.6640625,21655.056640625,0.16471770405769348,0.20661453902721405,0.0,0.0,1.0,1.0
11-09-160-00835-800979,151083.765625,29617.615234375,0.08624230325222015,0.10921458154916763,0.0,0.0,1.0,1.0
11-09-161-00836-800980,121051.2421875,21994.2578125,0.14307434856891632,0.17956514656543732,0.0,0.0,1.0,1.0
11-09-161-00838-800981,149170.890625,27447.400390625,0.05347669869661331,0.07184818387031555,0.0,0.0,1.0,1.0
11-09-161-00839-800983,113213.5703125,24260.05078125,0.0,0.0758928582072258,0.0,0.0,1.0,1.0
11-09-161-00839-800984,104205.234375,18827.271484375,0.24722279608249664,0.2923915386199951,0.0,0.0,1.0,1.0
11-09-161-00839-800985,115032.7578125,22824.98828125,0.10372040420770645,0.1386696696281433,0.0,0.0,1.0,1.0
11-09-162-00841-800986,134592.421875,27151.6875,0.04269802197813988,0.06064356490969658,0.0,0.0,1.0,1.0
11-09-162-00842-800988,157717.203125,44686.54296875,0.0,0.0,0.0,0.0,1.0,1.0
11-09-162-00842-800989,85306.2890625,16018.2109375,0.34716159105300903,0.4912663698196411,0.0,0.0,1.0,1.0
